"","process","genes_nested","id","composite_name","module_size_4","module_category","annotation_level","web_link","symbol","top_matched_pathway_in_kegg_pid_and_biocarta","jaccard_index_10","enrichment_p_value_11","pathway_size","overlap_size_13","top_matched_chaussabel_module","jaccard_index_15","enrichment_p_value_16","module_size_17","overlap_size_18","top_matched_transcription_factor","jaccard_index_20","enrichment_p_value_21","gene_set_size","overlap_size_23","top_matched_gene_ontology_terms_number_of_matched_genes","btm","group","subgroup","SetSize"
"1","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","TNFSF13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"2","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","LIF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"3","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","HHEX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"4","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","CEBPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"5","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","CBFA2T3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"6","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","LTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"7","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","SPI1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"8","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","TLR4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"9","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","CCR7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"10","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","LYN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"11","B cell development","TNFSF13, LIF, HHEX, CEBPE, CBFA2T3, LTA, SPI1, TLR4, CCR7, LYN, TNF","M9","B cell development (M9)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M9.htm","TNF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PU1_Q6",0.03,1.55e-08,182,5,"protein binding (8), immune response (6), signal transduction (5)","M9","B CELLS","B CELLS",11
"12","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","TCF4","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"13","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","JAM3","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"14","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","NEDD4","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"15","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","GAB2","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"16","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","PIK3CD","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"17","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","SPIB","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"18","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","BCL2","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"19","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","LYN","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
"20","B cell development/activation","TCF4, JAM3, NEDD4, GAB2, PIK3CD, SPIB, BCL2, LYN, DUSP6, BTK, BLNK","M58","B cell development/activation (M58)",11,"immune","partial","http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M58.htm","DUSP6","KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.05,3.88e-08,75,4,NA,NA,NA,NA,NA,"OCT1_Q6",0.05,4.14e-23,210,11,"protein binding (10), cytoplasm (8), plasma membrane (7)","M58","B CELLS","B CELLS",11
